Model,Language,Factual_consistency,Coherence,Similarity
Qwen_Qwen3-4B-Instruct-2507,Dogri,5.647058823529412,6.004901960784314,5.176470588235294
google_gemma-3-4b-it,Santali,6.823529411764706,6.8431372549019605,6.132352941176471
Qwen_Qwen3-4B-Instruct-2507,Punjabi,5.190476190476191,5.37037037037037,4.777777777777778
google_gemma-3-4b-it,Gujarati,8.703703703703704,8.746031746031745,8.619047619047619
google_gemma-2-2b-it,Hindi,6.892682926829268,7.248780487804878,6.64390243902439
HuggingFaceTB_SmolLM3-3B,Sindhi,4.595121951219512,4.775609756097561,4.404878048780488
google_gemma-3-4b-it,Kannada,7.404878048780488,7.668292682926829,6.848780487804878
meta-llama_Llama-3.2-1B-Instruct,Gujarati,6.12041884816754,6.664921465968586,5.617801047120419
google_gemma-2-2b-it,Malayalam,5.736585365853658,5.863414634146341,5.595121951219512
meta-llama_Llama-3.2-1B-Instruct,Odia,4.2631578947368425,4.794736842105263,4.089473684210526
google_gemma-3-4b-it,Telugu,5.2439024390243905,5.951219512195122,5.258536585365854
google_gemma-3-4b-it,Tamil,6.117647058823529,6.137254901960785,5.715686274509804
google_gemma-2-2b-it,Bodo,6.3951219512195125,6.560975609756097,6.307317073170732
sarvamai_sarvam-1,Gujarati,6.160975609756098,6.317073170731708,5.760975609756097
google_gemma-2-2b-it,Urdu,5.122549019607843,5.098039215686274,4.965686274509804
google_gemma-2-2b-it,Nepali,5.117073170731707,5.180487804878049,4.970731707317073
sarvamai_sarvam-1,Marathi,3.8292682926829267,4.512195121951219,3.8536585365853657
Qwen_Qwen3-4B-Instruct-2507,Odia,5.0931372549019605,5.720588235294118,4.588235294117647
google_gemma-2-2b-it,Tamil,4.595121951219512,4.790243902439024,4.5512195121951216
HuggingFaceTB_SmolLM3-3B,Kannada,6.073170731707317,6.1414634146341465,5.878048780487805
HuggingFaceTB_SmolLM3-3B,Bengali,7.829268292682927,7.965853658536585,7.375609756097561
meta-llama_Llama-3.2-1B-Instruct,Punjabi,3.9714285714285715,4.954285714285715,4.2
meta-llama_Llama-3.2-1B-Instruct,Assamese,4.507317073170731,4.478048780487805,4.31219512195122
sarvamai_sarvam-1,Manipuri,4.392156862745098,4.642156862745098,4.338235294117647
sarvamai_sarvam-1,Punjabi,4.230392156862745,4.357843137254902,3.980392156862745
HuggingFaceTB_SmolLM3-3B,en,5.878048780487805,5.902439024390244,5.439024390243903
HuggingFaceTB_SmolLM3-3B,Hindi,6.455882352941177,6.661764705882353,5.926470588235294
google_gemma-3-4b-it,Kashmiri,7.235294117647059,7.534313725490196,6.073529411764706
sarvamai_sarvam-1,Odia,4.882926829268293,5.580487804878048,4.663414634146341
meta-llama_Llama-3.2-1B-Instruct,Bengali,7.852941176470588,8.049019607843137,7.348039215686274
google_gemma-3-4b-it,Bengali,8.264705882352942,8.544117647058824,7.848039215686274
google_gemma-2-2b-it,en,7.3052631578947365,7.731578947368421,6.7105263157894735
google_gemma-2-2b-it,Marathi,5.8585365853658535,6.0,5.648780487804878
Qwen_Qwen3-4B-Instruct-2507,Bengali,8.93658536585366,8.93170731707317,8.341463414634147
HuggingFaceTB_SmolLM3-3B,Punjabi,3.2146341463414636,3.370731707317073,3.102439024390244
Qwen_Qwen3-4B-Instruct-2507,Bodo,5.658536585365853,6.214634146341464,5.619512195121951
HuggingFaceTB_SmolLM3-3B,Dogri,5.647058823529412,5.7254901960784315,5.254901960784314
google_gemma-3-4b-it,Malayalam,6.3463414634146345,6.492682926829269,6.117073170731707
meta-llama_Llama-3.2-1B-Instruct,Telugu,4.009803921568627,4.568627450980392,3.8970588235294117
HuggingFaceTB_SmolLM3-3B,Maithili,5.230392156862745,5.294117647058823,5.034313725490196
meta-llama_Llama-3.2-1B-Instruct,Bodo,4.278048780487805,4.736585365853658,4.117073170731707
meta-llama_Llama-3.2-1B-Instruct,Marathi,4.907317073170732,5.126829268292683,4.46829268292683
google_gemma-3-4b-it,en,6.746341463414634,7.326829268292683,5.190243902439025
google_gemma-2-2b-it,Odia,4.68780487804878,4.95609756097561,4.482926829268293
google_gemma-2-2b-it,Dogri,5.741463414634146,5.995121951219512,5.639024390243902
Qwen_Qwen3-4B-Instruct-2507,Kashmiri,6.443902439024391,6.492682926829269,6.04390243902439
meta-llama_Llama-3.2-1B-Instruct,Hindi,3.004878048780488,3.4048780487804877,3.0878048780487806
Qwen_Qwen3-4B-Instruct-2507,Tamil,3.097560975609756,3.6731707317073172,3.053658536585366
meta-llama_Llama-3.2-1B-Instruct,en,5.034146341463415,5.404878048780488,4.6048780487804875
google_gemma-2-2b-it,Kashmiri,5.877450980392157,6.014705882352941,5.622549019607843
google_gemma-3-4b-it,Bodo,8.073170731707316,8.2,7.53170731707317
google_gemma-2-2b-it,Telugu,5.556097560975609,5.921951219512195,5.5268292682926825
HuggingFaceTB_SmolLM3-3B,Assamese,3.7609756097560973,3.8097560975609754,3.707317073170732
Qwen_Qwen3-4B-Instruct-2507,Gujarati,7.421052631578948,7.363157894736842,6.926315789473684
meta-llama_Llama-3.2-1B-Instruct,Kashmiri,4.365853658536586,4.4975609756097565,4.263414634146342
meta-llama_Llama-3.2-1B-Instruct,Santali,4.53921568627451,4.676470588235294,4.568627450980392
Qwen_Qwen3-4B-Instruct-2507,Assamese,6.5512195121951216,6.824390243902439,6.443902439024391
sarvamai_sarvam-1,Maithili,3.9317073170731707,4.068292682926829,3.790243902439024
google_gemma-3-4b-it,Marathi,5.160975609756098,5.770731707317073,5.019512195121951
meta-llama_Llama-3.2-1B-Instruct,Tamil,3.4634146341463414,3.790243902439024,3.4341463414634146
HuggingFaceTB_SmolLM3-3B,Gujarati,6.872727272727273,7.242424242424242,6.757575757575758
Qwen_Qwen3-4B-Instruct-2507,Malayalam,5.127450980392157,5.348039215686274,4.813725490196078
HuggingFaceTB_SmolLM3-3B,Urdu,5.721951219512195,6.15609756097561,5.2
google_gemma-3-4b-it,Hindi,6.351219512195122,6.614634146341463,6.131707317073171
Qwen_Qwen3-4B-Instruct-2507,Sindhi,5.671568627450981,6.294117647058823,5.7254901960784315
google_gemma-3-4b-it,Punjabi,6.385365853658537,6.4731707317073175,5.931707317073171
Qwen_Qwen3-4B-Instruct-2507,Maithili,5.126829268292683,5.570731707317073,4.985365853658537
google_gemma-2-2b-it,Konkani,5.8201058201058204,5.841269841269841,5.497354497354498
Qwen_Qwen3-4B-Instruct-2507,en,7.021052631578947,7.342105263157895,6.315789473684211
sarvamai_sarvam-1,Nepali,3.7941176470588234,3.965686274509804,3.8480392156862746
google_gemma-2-2b-it,Santali,4.826388888888889,5.229166666666667,4.576388888888889
meta-llama_Llama-3.2-1B-Instruct,Malayalam,4.170731707317073,4.429268292682927,3.9414634146341463
google_gemma-2-2b-it,Gujarati,7.1911764705882355,7.137254901960785,6.995098039215686
google_gemma-3-4b-it,Odia,5.907317073170732,6.097560975609756,5.64390243902439
sarvamai_sarvam-1,Santali,2.790243902439024,3.204878048780488,2.7756097560975608
sarvamai_sarvam-1,Sindhi,5.284313725490196,5.4754901960784315,5.083333333333333
meta-llama_Llama-3.2-1B-Instruct,Konkani,5.348039215686274,5.735294117647059,5.254901960784314
meta-llama_Llama-3.2-1B-Instruct,Manipuri,5.921568627450981,6.049019607843137,5.642156862745098
Qwen_Qwen3-4B-Instruct-2507,Konkani,6.5,6.759803921568627,6.372549019607843
sarvamai_sarvam-1,Malayalam,4.5024390243902435,5.097560975609756,4.380487804878049
meta-llama_Llama-3.2-1B-Instruct,Dogri,4.352941176470588,4.450980392156863,4.205882352941177
HuggingFaceTB_SmolLM3-3B,Odia,5.358333333333333,5.625,5.133333333333334
google_gemma-3-4b-it,Sindhi,4.536585365853658,4.8,4.0390243902439025
google_gemma-3-4b-it,Maithili,6.78921568627451,7.098039215686274,6.583333333333333
sarvamai_sarvam-1,Konkani,6.215686274509804,6.25,5.911764705882353
sarvamai_sarvam-1,en,5.215686274509804,5.2254901960784315,4.661764705882353
google_gemma-2-2b-it,Sindhi,3.9313725490196076,4.014705882352941,3.6666666666666665
HuggingFaceTB_SmolLM3-3B,Marathi,5.717073170731707,6.2,5.512195121951219
HuggingFaceTB_SmolLM3-3B,Nepali,5.224390243902439,5.287804878048781,4.907317073170732
sarvamai_sarvam-1,Telugu,3.0,3.343137254901961,2.843137254901961
google_gemma-3-4b-it,Nepali,5.98941798941799,6.158730158730159,5.603174603174603
sarvamai_sarvam-1,Kashmiri,3.551219512195122,3.7170731707317075,3.346341463414634
google_gemma-3-4b-it,Dogri,6.480392156862745,6.833333333333333,6.2745098039215685
Qwen_Qwen3-4B-Instruct-2507,Kannada,7.254901960784314,7.200980392156863,6.328431372549019
google_gemma-3-4b-it,Konkani,7.357843137254902,7.284313725490196,6.637254901960785
sarvamai_sarvam-1,Assamese,4.188571428571429,4.297142857142857,3.9257142857142857
google_gemma-2-2b-it,Punjabi,5.132352941176471,5.465686274509804,5.063725490196078
google_gemma-2-2b-it,Bengali,8.55609756097561,8.75609756097561,7.985365853658537
Qwen_Qwen3-4B-Instruct-2507,Hindi,6.392156862745098,6.642156862745098,6.171568627450981
HuggingFaceTB_SmolLM3-3B,Bodo,6.209756097560976,6.5268292682926825,6.078048780487805
sarvamai_sarvam-1,Kannada,5.902439024390244,6.082926829268293,5.385365853658537
